#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
94 336.43277918259321 -1.0442940032626229 51075.233210700004 51075.455013770021 286.855205 0.009477 336.4326667809695 -1.0515086911332365
109 396.2418087606826 -1.2505568685469386 51078.390782900002 51078.474943690046 283.391746999999 0.008279 36.24187915575137 -1.2581861655159094
125 350.46974267690877 -1.252749794374115 51081.255758900006 51081.495288979975 287.818732 0.007781 350.46966429004527 -1.2596610687190444
211 402.58110922053515 -1.2651700227414813 51115.307000000001 51115.462054849995 283.219780000001 0.007975 42.581195816086435 -1.272120590681928
240 375.18967787787483 -1.2644034848494636 51132.185032000001 51132.248851429977 290.578187 0.010103 15.189656853896887 -1.2744618376833887
241 403.02954784875681 -1.2651366988424486 51132.262149700007 51132.303590890049 266.715505000001 0.005148 43.029630178086606 -1.2686924465152962
250 15.357178718454922 -1.0360842102463459 51133.182999999997 51133.366998879974 62.095899 0.024055 15.356883098648575 -1.0185664490528481
251 85.880004570767838 -1.0094533379197732 51133.3780874 51133.407925059953 11.252511 0.037496 85.87982628974521 -1.0456078177008492
256 -8.2840934541471096 -1.0572070974096659 51134.11449765 51134.13357074005 58.141704 0.024019 351.71573112361949 -1.035192638880992
259 368.37516084383395 -1.0471858984922617 51134.16041462998 51134.39053562998 299.408811 0.007597 8.3751108342327942 -1.054276707627481
273 371.5027215079819 -1.2577350476902611 51136.164000000004 51136.380852759954 286.541530000001 0.008068 11.502705900461622 -1.2657718682903529
287 396.48684691775787 -1.1542972192921426 51138.2276088 51138.404242220029 295.298232 0.007857 36.4868777389229 -1.1620048866328307
297 61.151021492828527 -1.1537211175177227 51139.292999999998 51139.372609429978 92.038416 0.040845 61.150321995678304 -1.132753021705831
307 437.53447818748111 -0.8819813017395719 51140.335999999996 51140.408560679978 318.930778 0.012093 77.53456785181983 -0.89259837147353893
308 107.88997151445916 -0.88660106180419151 51140.419999999998 51140.504999650002 271.301292 0.009619 107.89011395515867 -0.8838548352975838
727 235.00581447668787 -1.2718775415526042 51251.467705200004 51251.497120620028 289.317131 0.006134 235.00573518314809 -1.2668955118403575
745 160.35314661036011 -1.0615135580999719 51257.245736100005 51257.49442104005 289.613188 0.005337 160.35320906976014 -1.0573812145729264
752 145.14353567441123 -1.267887759852792 51258.200869400003 51258.496087690051 269.084259 0.009016 145.14364675899049 -1.2604079402250279
756 117.40634524149321 -1.0562880344836603 51259.121346200001 51259.453492009947 251.702115 0.008736 117.40645739539551 -1.0500352863289169
